NUM,W1,W2,W3,W4,W5,L1,L2,L3,L4,L5,S21M,S21P,S21M.1,S21P.1,S21M.2,S21P.2,S21M.3,S21P.3,S21M.4,S21P.4,S21M.5,S21P.5,S21M.6,S21P.6,S21M.7,S21P.7,S21M.8,S21P.8,S21M.9,S21P.9,S21M.10,S21P.10,S21M.11,S21P.11,S21M.12,S21P.12,S21M.13,S21P.13,S21M.14,S21P.14,S21M.15,S21P.15,W6,L6
32,6810.78158721152,293.574414116966,6804.48932128741,301.214460197377,6813.47069573182,2.58924483581337,14.556638851263,15.8395889568302,13.1298444761774,1.22509892460429,0.973,-0.221,0.428,-0.898,-0.501,-0.825,-0.749,0.046,-0.262,0.361,-0.009,0.266,0.067,0.163,0.088,0.099,0.094,0.06,0.1,0.034,0.115,0.012,0.149,-0.018,0.238,-0.108,0.117,-0.84,-0.425,0.016,-0.269,0.098,0.0,0.0
33,6817.81764175476,308.327282308939,6809.7186136255,308.284827964971,6806.05031753938,3.06168533871116,5.89590072912163,6.2031420848812,10.2989016791165,3.00324969416462,0.989,-0.138,0.766,-0.637,0.308,-0.942,-0.25,-0.944,-0.714,-0.632,-0.922,-0.101,-0.736,0.48,-0.16,0.71,0.224,0.434,0.251,0.169,0.189,0.047,0.134,-0.002,0.095,-0.021,0.071,-0.028,0.054,-0.031,0.046,-0.032,0.0,0.0
34,6803.20348701882,303.898293500433,6818.85729732512,296.882893134347,6810.45767129018,3.53646197634568,13.9928942903037,8.37249707865563,8.82868328766231,4.60572477227412,0.981,-0.186,0.586,-0.801,-0.13,-0.968,-0.758,-0.577,-0.909,0.2,-0.228,0.732,0.248,0.35,0.209,0.086,0.134,0.004,0.087,-0.02,0.06,-0.028,0.044,-0.03,0.035,-0.032,0.03,-0.036,0.027,-0.042,0.026,-0.051,0.0,0.0
35,6802.68962310671,293.907230728582,6803.35336361903,308.196750275544,6805.24120558866,3.53346907363564,14.7117458142243,10.30141003573,11.4247123237555,1.22092258519026,0.979,-0.193,0.561,-0.816,-0.195,-0.971,-0.862,-0.431,-0.633,0.387,-0.093,0.429,0.083,0.246,0.11,0.129,0.102,0.066,0.091,0.031,0.083,0.01,0.079,-0.005,0.08,-0.019,0.089,-0.038,0.108,-0.073,0.135,-0.133,0.0,0.0
36,6802.85523500869,308.325326652946,6804.77543522272,299.07240281456,6801.00023629153,3.08976898582102,9.76646224803773,14.2387849196951,8.71383585553702,4.9634332675569,0.979,-0.195,0.548,-0.824,-0.208,-0.954,-0.837,-0.458,-0.763,0.387,-0.064,0.583,0.196,0.266,0.173,0.082,0.123,0.012,0.088,-0.014,0.067,-0.025,0.055,-0.032,0.05,-0.04,0.051,-0.055,0.063,-0.094,0.084,-0.217,0.0,0.0
37,6801.20310842045,293.262791950247,6809.25670670506,293.174083612706,6810.28993315202,3.77625055867594,7.22096456554503,15.4582915081154,8.72617536094643,1.05825420488165,0.983,-0.176,0.622,-0.766,-0.041,-0.955,-0.637,-0.628,-0.78,0.003,-0.428,0.415,-0.065,0.403,0.088,0.263,0.127,0.155,0.13,0.088,0.125,0.047,0.125,0.019,0.136,-0.006,0.173,-0.044,0.297,-0.209,-0.476,-0.638,0.0,0.0
38,6814.25684113844,292.358775109652,6806.01971988208,296.899683603805,6807.450490009,1.42920740235249,7.68322896418297,6.07869846405853,9.16543375131686,4.40597474717662,0.989,-0.14,0.76,-0.642,0.296,-0.943,-0.263,-0.945,-0.752,-0.633,-0.982,-0.017,-0.612,0.618,-0.007,0.597,0.189,0.313,0.184,0.139,0.146,0.056,0.111,0.016,0.086,-0.003,0.068,-0.013,0.055,-0.019,0.049,-0.022,0.0,0.0
39,6815.10943752285,295.034135631624,6816.10964750404,293.235214325254,6808.05920200905,2.98318627448457,13.0309902167759,12.6263636870845,14.1927853061272,3.81922714120314,0.974,-0.219,0.445,-0.888,-0.445,-0.885,-0.924,-0.033,-0.286,0.555,0.112,0.311,0.142,0.118,0.111,0.037,0.084,0.003,0.066,-0.013,0.057,-0.023,0.053,-0.033,0.055,-0.048,0.065,-0.079,0.085,-0.177,-0.016,-0.509,0.0,0.0
40,6810.98305808147,301.545430416724,6803.91569218232,297.987046673906,6808.66118610953,1.78822411699881,5.47296644849708,9.79946989298914,12.5838517223147,4.99160690149009,0.984,-0.167,0.664,-0.742,0.036,-0.991,-0.626,-0.735,-0.864,-0.055,-0.498,0.447,-0.071,0.452,0.112,0.28,0.146,0.144,0.132,0.065,0.11,0.022,0.091,-0.002,0.078,-0.016,0.07,-0.027,0.066,-0.038,0.066,-0.048,0.0,0.0
41,6803.47830627783,310.725110137044,6802.95750567491,309.756430134494,6809.74593238896,1.46056902718782,12.1747935417064,9.56532155390112,5.84269558924235,4.85317832640164,0.985,-0.163,0.673,-0.728,0.071,-0.96,-0.509,-0.754,-0.822,-0.262,-0.736,0.346,-0.183,0.624,0.172,0.374,0.2,0.154,0.158,0.053,0.119,0.008,0.092,-0.012,0.074,-0.023,0.063,-0.031,0.056,-0.039,0.053,-0.045,0.0,0.0
